,W_n1,W_n2,X1,X2
193,1.17,0.57,0.5027144321917432,2.076029771165866
194,1.17,0.6,0.5012835957628105,2.0659615589518223
195,1.17,0.62,0.49979681184177804,2.055745200893134
196,1.17,0.65,0.4982119556356278,2.045382530982402
197,1.17,0.67,0.49657689579732084,2.0348778521404878
198,1.15,0.52,0.5041041070194768,2.0857294086219498
199,1.15,0.55,0.5027221120424384,2.0758209496155446
200,1.15,0.57,0.5012915533244314,2.065761874019132
201,1.15,0.6,0.49980535449258134,2.0555541769222967
202,1.15,0.62,0.49822078933345376,2.0451997236740467
203,1.15,0.65,0.49658602052282486,2.034706470112195
204,1.12,0.5,0.5041119460727129,2.0854980188604038
205,1.12,0.52,0.5027302426465217,2.075599773919821
206,1.12,0.55,0.5012999779778734,2.0655503728728184
207,1.12,0.57,0.4998143986155184,2.0553518470666496
208,1.12,0.6,0.49823014163381774,2.045006094968976
209,1.12,0.62,0.49659568098474555,2.0345249402272563
210,1.1,0.47,0.5041202449254297,2.0852529447509323
211,1.1,0.5,0.5027388501913836,2.0753655144511725
212,1.1,0.52,0.5013088968644484,2.065326357338617
213,1.1,0.55,0.499823973354117,2.055137543039262
214,1.1,0.57,0.49824004268130245,2.044805140690048
215,1.1,0.6,0.4966059083294822,2.034332662107053
216,1.07,0.45,0.5041290302544366,2.084993518881164
217,1.07,0.47,0.5027479623532481,2.0751173986493305
218,1.07,0.5,0.5013183386691045,2.065089088121881
219,1.07,0.52,0.4998341095099695,2.054912423309552
220,1.07,0.55,0.4982505243361754,2.044592424708117
221,1.07,0.57,0.4966167354768532,2.034128999918332
222,1.05,0.42,0.5041383302488075,2.0847244240554206
223,1.05,0.45,0.5027576083778565,2.074857669508347
224,1.05,0.47,0.501328333704153,2.064841181226938
225,1.05,0.5,0.4998448396327235,2.0546770207324374
226,1.05,0.52,0.4982616202675965,2.044367117353273
227,1.05,0.55,0.4966281972165269,2.033913280288422
228,1.02,0.4,0.5041481746913088,2.0844394176255348
229,1.02,0.42,0.5027678191650484,2.074585196393475
230,1.02,0.45,0.5013389139970503,2.0645805847303236
231,1.02,0.47,0.49985619811445303,2.0544276876237344
232,1.02,0.5,0.49827336605135736,2.0441284741870795
233,1.02,0.52,0.4966403303091585,2.033684790099028
234,1.0,0.37,0.5041585950436691,2.0841375609450252
235,1.0,0.4,0.5027786273573488,2.0742966088421393
236,1.0,0.42,0.5013501133823364,2.0643045718606596
237,1.0,0.45,0.4998682212885081,2.054163600839724
238,1.0,0.47,0.49828579927228644,2.043875706874967
239,1.0,0.5,0.496653173592357,2.033442774151699
240,0.97,0.35,0.5041696245358315,2.0838178602763606
241,0.97,0.37,0.502790067432702,2.0739909558815177
242,0.97,0.4,0.5013619675978971,2.0640122323106165
243,0.97,0.42,0.4998809475330165,2.0538838887590165
244,0.97,0.45,0.4982989596314756,2.0436079806135963
245,0.97,0.47,0.4966667680916611,2.0331864326978204
246,0.95,0.32,0.5041812982592834,2.08347926359323
247,0.95,0.35,0.5028021758014457,2.0736672306827004
248,0.95,0.37,0.5013745143856403,2.063702602240985
249,0.95,0.4,0.4998944173791518,2.0535876284488253
250,0.95,0.42,0.4983128890584653,2.043324411409618
251,0.95,0.45,0.4966811571366671,2.032914918825361
252,0.92,0.3,0.5041936532645693,2.0831206572018144
253,0.92,0.32,0.50281499090766,2.073324367314015
254,0.92,0.35,0.5013877935967225,2.0633746611614616
255,0.92,0.37,0.49990867362430147,2.0532738426684474
256,0.92,0.4,0.4983276318285196,2.043024063201332
257,0.92,0.42,0.4966963864824347,2.0326273356944204
258,0.92,0.45,0.4950153377999695,2.0220855465120553
259,0.9,0.27,0.5042067286630856,2.0827408621711854
260,0.9,0.3,0.5028285533349631,2.0729612373100053
261,0.9,0.32,0.5014018473014181,2.0630273286332828
262,0.9,0.35,0.49992376145024875,2.0529414967011514
263,0.9,0.37,0.49834323468512315,2.042705944814914
264,0.9,0.4,0.4967125044363229,2.032322733613022
265,0.9,0.42,0.49503196921555964,2.021793793348535
266,0.87,0.25,0.5042205657332307,2.082338630562669
267,0.87,0.27,0.5028429059168699,2.072576646045996
268,0.87,0.3,0.501416719903731,2.0626594607842845
269,0.87,0.32,0.4999397285464731,2.0525894950045096
270,0.87,0.35,0.49835974696779145,2.0423690067454308
271,0.87,0.37,0.49672956199035195,2.0320001069442597
272,0.87,0.4,0.49504957032497854,2.021484772147476
273,0.85,0.22,0.5042352080309801,2.0819126414475475
274,0.85,0.25,0.5028580938517503,2.072169328908047
275,0.85,0.27,0.5014324582608207,2.062269846625979
276,0.85,0.3,0.49995662523864826,2.052216677669862
